[impact] 대상 사용자 = 121
[weekly-cards][timing] line aggregates+verdict 184ms | weeks=21
[weekly-cards][timing] getWeeklyGrowth crew=172ms currentWeek=0ms summary+cards=548ms total=720ms
[weekly-cards][timing] line aggregates+verdict 160ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=182ms currentWeek=0ms summary+cards=525ms total=707ms
[weekly-cards][timing] line aggregates+verdict 195ms | weeks=24
[weekly-cards][timing] getWeeklyGrowth crew=175ms currentWeek=0ms summary+cards=572ms total=747ms
[weekly-cards][timing] line aggregates+verdict 161ms | weeks=15
[weekly-cards][timing] getWeeklyGrowth crew=185ms currentWeek=0ms summary+cards=563ms total=748ms
[weekly-cards][timing] line aggregates+verdict 172ms | weeks=30
[weekly-cards][timing] getWeeklyGrowth crew=176ms currentWeek=0ms summary+cards=579ms total=755ms
[weekly-cards][timing] line aggregates+verdict 179ms | weeks=5
[weekly-cards][timing] getWeeklyGrowth crew=178ms currentWeek=0ms summary+cards=574ms total=752ms
[weekly-cards][timing] line aggregates+verdict 163ms | weeks=6
[weekly-cards][timing] getWeeklyGrowth crew=160ms currentWeek=0ms summary+cards=585ms total=745ms

================= 영향도 리포트 =================
전체 대상       : 121
비교 가능       : 121
비교 불가(skip) : 0
변화 없음       : 0
변화 있음       : 121

--- 상태키 전이 집계 ---
(상태키 변화 없음)

--- 변화 사용자 상세 ---

user=00b75923-2109-4214-806a-37667d64ac5e dbStatus=active
  before: a3 b2 c0 d0 e5 h5 [active]
  after : a3 b2 c0 d1 e5 h7 [active]
  원인  : official_rest ↑1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=020ec835-1ead-4ef5-adce-d0d97585beaa dbStatus=paused
  before: a8 b2 c2 d2 e12 h14 [paused]
  after : a8 b2 c2 d1 e12 h14 [paused]
  원인  : official_rest ↓1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=05ff6b96-b3e7-4050-97f1-080633f183d3 dbStatus=graduating
  before: a28 b3 c1 d2 e32 h34 [graduating]
  after : a28 b3 c1 d2 e32 h35 [graduating]
  원인  : tallying 1건 (신 h 정의에 포함)

user=0a113e53-b678-40d1-b51c-1278e1c3f0fa dbStatus=active
  before: a3 b8 c0 d2 e11 h13 [active]
  after : a3 b8 c0 d1 e11 h13 [active]
  원인  : official_rest ↓1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=0d6ec2d3-ec7a-43cc-b1a9-8bb8b3f18df3 dbStatus=seasonal_rest
  before: a9 b1 c3 d2 e13 h15 [seasonal_rest]
  after : a9 b1 c3 d1 e13 h15 [seasonal_rest]
  원인  : official_rest ↓1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=11867101-8086-43d6-9349-6307ee286966 dbStatus=active
  before: a0 b4 c0 d0 e4 h4 [active]
  after : a0 b4 c0 d1 e4 h6 [active]
  원인  : official_rest ↑1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=13b8e55e-ff49-43f3-a01f-cb68bfb74581 dbStatus=active
  before: a3 b7 c0 d1 e10 h11 [active]
  after : a3 b7 c0 d1 e10 h12 [active]
  원인  : tallying 1건 (신 h 정의에 포함)

user=1a0b0f9e-4e10-4d06-aa56-6d26ee4b203a dbStatus=graduating
  before: a23 b3 c1 d2 e27 h29 [graduating]
  after : a23 b3 c1 d1 e27 h29 [graduating]
  원인  : official_rest ↓1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=19cb4129-ba73-4685-9912-7d9d4ed3768b dbStatus=active
  before: a3 b1 c0 d0 e4 h4 [active]
  after : a2 b2 c0 d1 e4 h6 [active]
  원인  : verdict fail 전환 (success→fail 1건) | official_rest ↑1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=1cde2e27-3069-4890-847c-83fd20a81f74 dbStatus=active
  before: a3 b1 c0 d0 e4 h4 [active]
  after : a2 b2 c0 d1 e4 h6 [active]
  원인  : verdict fail 전환 (success→fail 1건) | official_rest ↑1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=24caea11-ae48-489f-83a9-52780cb9eb96 dbStatus=active
  before: a0 b4 c0 d0 e4 h4 [active]
  after : a0 b4 c0 d1 e4 h6 [active]
  원인  : official_rest ↑1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=247021bc-374b-48f4-8d49-b181d149ee33 dbStatus=active
  before: a1 b2 c0 d0 e3 h3 [active]
  after : a1 b2 c0 d1 e3 h5 [active]
  원인  : official_rest ↑1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=28a39131-a719-4264-b2a4-96dbda64cbb6 dbStatus=active
  before: a2 b10 c0 d2 e12 h14 [active]
  after : a2 b10 c0 d1 e12 h14 [active]
  원인  : official_rest ↓1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=28c60d60-aa17-4614-9127-fd65a8aebcaf dbStatus=seasonal_rest
  before: a6 b1 c4 d2 e11 h13 [seasonal_rest]
  after : a6 b1 c4 d1 e11 h13 [seasonal_rest]
  원인  : official_rest ↓1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=296de78e-2a24-450c-9af1-c93a66b9f982 dbStatus=active
  before: a0 b4 c0 d0 e4 h4 [active]
  after : a0 b4 c0 d1 e4 h6 [active]
  원인  : official_rest ↑1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=2dc7f9ac-3452-426f-a948-51e40dc953de dbStatus=active
  before: a1 b3 c0 d0 e4 h4 [active]
  after : a1 b3 c0 d1 e4 h6 [active]
  원인  : official_rest ↑1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=3330f4c3-5331-4632-bbe6-01a19017a089 dbStatus=seasonal_rest
  before: a7 b1 c2 d2 e10 h12 [seasonal_rest]
  after : a7 b1 c2 d1 e10 h12 [seasonal_rest]
  원인  : official_rest ↓1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=33cd8f8a-a412-49dc-914c-01b1251871f9 dbStatus=active
  before: a3 b1 c0 d0 e4 h4 [active]
  after : a2 b2 c0 d1 e4 h6 [active]
  원인  : verdict fail 전환 (success→fail 1건) | official_rest ↑1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=35c987bf-015f-482c-b966-63fe55af0256 dbStatus=paused
  before: a8 b2 c2 d2 e12 h14 [paused]
  after : a8 b2 c2 d1 e12 h14 [paused]
  원인  : official_rest ↓1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=35cd5770-98ec-49b4-95db-8ca6c92e53bf dbStatus=active
  before: a3 b1 c0 d0 e4 h4 [active]
  after : a2 b2 c0 d1 e4 h6 [active]
  원인  : verdict fail 전환 (success→fail 1건) | official_rest ↑1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=36138fb1-6fea-4b22-b6d2-9c46cba47314 dbStatus=active
  before: a3 b2 c0 d0 e5 h5 [active]
  after : a3 b2 c0 d1 e5 h7 [active]
  원인  : official_rest ↑1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=369d11e5-8c9e-423c-95e8-4e52a62460d7 dbStatus=graduating
  before: a26 b4 c1 d1 e31 h32 [graduating]
  after : a26 b4 c1 d2 e31 h34 [graduating]
  원인  : official_rest ↑1 (현재주 official_rest 카드화 / no_data skip / seasonCalendar∪periods 재판정) | tallying 1건 (신 h 정의에 포함)

user=3ba642d8-d658-4e87-8e15-3afdab8415c2 dbStatus=active
